qw,qx,qy,qz,Eye X,Eye Y
0.12174360000000002,-0.03624913,-0.9646449,-0.2309214,0.48662570000000005,0.3670784
0.1219586,-0.03572825,-0.9655271000000001,-0.2271717,0.48662570000000005,0.3670784
0.121753,-0.03526206,-0.9664084999999999,-0.22357889999999997,0.48597809999999997,0.3672712
0.12206789999999998,-0.03462733,-0.9671713,-0.22018220000000002,0.48597809999999997,0.3672712
0.1232391,-0.03499545,-0.9677738000000001,-0.216798,0.4795325,0.3746909
0.1232391,-0.03499545,-0.9677738000000001,-0.216798,0.4795325,0.3746909
0.12422089999999998,-0.03556229,-0.9681699,-0.2143634,0.4792795,0.37506649999999997
0.1241633,-0.03453684,-0.9685794,-0.21270789999999998,0.4798598,0.37917890000000004
0.1241633,-0.03453684,-0.9685794,-0.21270789999999998,0.4790991,0.3851179
0.1244007,-0.03270528,-0.9689184000000001,-0.21131,0.4790991,0.3851179
0.1244411,-0.03138632,-0.9692149999999999,-0.2101228,0.4793489,0.3858268
0.12489080000000001,-0.03034399,-0.9695799,-0.2083181,0.4766156,0.3895657
0.12489080000000001,-0.03034399,-0.9695799,-0.2083181,0.476666,0.3924
0.1258996,-0.02942199,-0.9699745000000001,-0.20599299999999998,0.476666,0.3924
0.1263418,-0.03081786,-0.9705348,-0.2028552,0.47573329999999997,0.3914422
0.1261221,-0.03288861,-0.9709668,-0.2005867,0.47573329999999997,0.3914422
0.1261221,-0.03288861,-0.9709668,-0.2005867,0.47305379999999997,0.39352270000000006
0.12556330000000002,-0.03483006,-0.9713813,-0.19859279999999999,0.47305379999999997,0.39352270000000006
0.1249498,-0.03584609,-0.9718610000000001,-0.1964406,0.473757,0.3978941
0.1242594,-0.03648085,-0.9721992,-0.1950833,0.47455070000000005,0.39776279999999997
0.1242594,-0.03648085,-0.9721992,-0.1950833,0.474879,0.39814920000000004
0.12359589999999998,-0.03657794,-0.9724290000000001,-0.19434010000000002,0.4774999,0.40122820000000003
0.1228484,-0.03664205,-0.9727216000000001,-0.19333470000000003,0.4774999,0.40122820000000003
0.1220575,-0.03694881,-0.9730559999999999,-0.19209079999999998,0.4797161,0.40383779999999997
0.1220575,-0.03694881,-0.9730559999999999,-0.19209079999999998,0.48060600000000003,0.404067
0.1213491,-0.03708326,-0.9732354,-0.191604,0.48060600000000003,0.404067
0.1208718,-0.03649474,-0.9733989,-0.1911874,0.4820284000000001,0.406731
0.1205293,-0.03676952,-0.9736056000000001,-0.1902967,0.4820724,0.4060573
0.1205293,-0.03676952,-0.9736056000000001,-0.1902967,0.4826844,0.40618059999999995
0.1199497,-0.03659626,-0.9738777,-0.1893015,0.4837599,0.40645929999999997
0.11930299999999999,-0.03631423,-0.9742065000000001,-0.1880686,0.4837599,0.40645929999999997
0.11930299999999999,-0.03631423,-0.9742065000000001,-0.1880686,0.4837681,0.40710029999999997
0.11856040000000001,-0.03578285,-0.9745876,-0.18666029999999997,0.48341369999999995,0.4072855
0.1177672,-0.03517956,-0.9750232,-0.1849951,0.48341369999999995,0.4072855
0.11767380000000001,-0.03517299,-0.9753246999999999,-0.1834594,0.4844777,0.40756859999999995
0.1178266,-0.0351412,-0.9755921000000001,-0.1819399,0.48596419999999996,0.40962790000000004
0.1178266,-0.0351412,-0.9755921000000001,-0.1819399,0.486016,0.4092018
0.1177377,-0.03489354,-0.9759561999999999,-0.1800827,0.48740390000000006,0.410764
0.1175481,-0.0341581,-0.9763245999999999,-0.17834270000000002,0.4871875,0.4108664000000001
0.1175481,-0.0341581,-0.9763245999999999,-0.17834270000000002,0.4871875,0.4108664000000001
0.1171617,-0.03361081,-0.9765615,-0.1774011,0.4875665,0.4127223
0.11681939999999999,-0.03271803,-0.9767023000000001,-0.1770181,0.4872932,0.4136009
0.1165289,-0.0319773,-0.9767863000000001,-0.1768817,0.4874974,0.4151776
0.1165289,-0.0319773,-0.9767863000000001,-0.1768817,0.48834390000000005,0.4162384
0.115969,-0.03095728,-0.9766552,-0.17815,0.48834390000000005,0.4162384
0.115186,-0.03016298,-0.9761288,-0.1816451,0.4861182,0.4292005
0.11399489999999998,-0.02991296,-0.9752030999999999,-0.1873215,0.4861182,0.4292005
0.11399489999999998,-0.02991296,-0.9752030999999999,-0.1873215,0.4763103,0.47506570000000004
0.112623,-0.02887085,-0.9742429,-0.19321839999999998,0.4763103,0.47506570000000004
0.11128060000000001,-0.02782828,-0.9733691999999999,-0.198481,0.4827555,0.49202170000000006
0.1103788,-0.02816202,-0.9726934000000002,-0.20221489999999998,0.48361640000000006,0.48559140000000006
0.1103788,-0.02816202,-0.9726934000000002,-0.20221489999999998,0.48361640000000006,0.48559140000000006
0.10917,-0.02968644,-0.9720912,-0.20552199999999998,0.48529279999999997,0.47728809999999994
0.1078838,-0.03256373,-0.9712226,-0.20982699999999999,0.48529279999999997,0.47728809999999994
0.1066244,-0.03614827,-0.9703118000000001,-0.2140549,0.4867694,0.4751517
