x,y,z,qw,qx,qy,qz
-0.7347884,1.564726,-1.012739,0.4073066,-0.06610183,0.9050296,0.103215
-0.7357709,1.564464,-1.012718,0.41035,-0.06628475,0.9037317,0.1024126
-0.7376257,1.563947,-1.012762,0.4161357,-0.0667748,0.9012461,0.1006361
-0.7384861,1.563741,-1.012857,0.4190341,-0.06715854,0.8999657,0.09981
-0.7400167,1.563203,-1.012777,0.4246174,-0.06760239,0.8975095,0.09801471
-0.7407424,1.562939,-1.012722,0.4273281,-0.06773539,0.8962935,0.09726522
-0.7418077,1.562552,-1.012456,0.432606,-0.06775057,0.8938366,0.0965303
-0.7424493,1.56239,-1.012316,0.4351892,-0.06784332,0.8926253,0.09606081
-0.7435031,1.562005,-1.011994,0.4399571,-0.06796554,0.8903589,0.09528579
-0.7440412,1.561857,-1.011936,0.4423133,-0.06791971,0.8892474,0.09478876
-0.7449915,1.561474,-1.011597,0.4464384,-0.06791466,0.8872837,0.09385032
-0.745525,1.561396,-1.011432,0.4484364,-0.06803567,0.886333,0.09321897
-0.7459424,1.561225,-1.011277,0.4501732,-0.06810222,0.8855159,0.09256287
-0.7468085,1.56084,-1.010846,0.4533769,-0.06847274,0.8839792,0.09133266
-0.7471833,1.56069,-1.010644,0.4547369,-0.06870238,0.88333,0.0906777
-0.7478923,1.56048,-1.010252,0.457366,-0.06890834,0.8820867,0.0893929
-0.7481246,1.56037,-1.010033,0.458409,-0.0688866,0.881624,0.08862776
-0.7488201,1.559948,-1.009444,0.4604472,-0.06851419,0.880747,0.08705779
-0.7490087,1.559804,-1.009127,0.4613454,-0.06814148,0.8803903,0.08619875
-0.7493126,1.559355,-1.008298,0.4632682,-0.06741078,0.879575,0.08477139
-0.7494559,1.559242,-1.007881,0.4641905,-0.06710615,0.8791715,0.08415179
-0.749614,1.559153,-1.007047,0.465897,-0.06644741,0.8783782,0.08352509
-0.7497561,1.559054,-1.006519,0.4666875,-0.06592294,0.8780246,0.08324604
-0.749867,1.558988,-1.005442,0.4681768,-0.06503209,0.8773142,0.08307304
-0.7497485,1.558943,-1.004868,0.4689543,-0.06436012,0.8769469,0.08308855
-0.7494543,1.558728,-1.003603,0.4708711,-0.06302647,0.8760439,0.08279652
-0.7492182,1.55865,-1.002931,0.4718223,-0.06240444,0.8756165,0.08237196
-0.7485449,1.558481,-1.001481,0.4736078,-0.06138159,0.8748194,0.08135709
-0.7481396,1.558383,-1.000729,0.4745558,-0.06082079,0.8743971,0.08079201
-0.7471566,1.55809,-0.9992201,0.4768555,-0.0592646,0.8733432,0.0798015
-0.746526,1.557932,-0.9983411,0.4781361,-0.05821769,0.8727683,0.07919664
-0.7449441,1.557574,-0.996491,0.4811836,-0.05660378,0.8713067,0.07799405
-0.744195,1.557337,-0.9955139,0.4827542,-0.05557646,0.8705661,0.07729413
-0.7424643,1.556767,-0.9931958,0.4865411,-0.05364015,0.8687192,0.07568025
-0.7414694,1.556522,-0.9920483,0.4886195,-0.05275627,0.8676666,0.07498347
-0.7393425,1.556183,-0.9896536,0.493387,-0.05095774,0.8651862,0.07365697
-0.7382665,1.555972,-0.9883676,0.4957363,-0.05005672,0.8639471,0.07304326
-0.7356615,1.555589,-0.9857142,0.5005994,-0.04866229,0.8613501,0.07147267
-0.7342695,1.555437,-0.9842818,0.5031672,-0.04776008,0.859998,0.07032129
-0.7313838,1.555051,-0.9812536,0.5086963,-0.04576701,0.8570133,0.06827633
-0.7298628,1.555035,-0.9796774,0.5115967,-0.04475014,0.8553988,0.06752215
-0.7267783,1.554934,-0.9762647,0.517795,-0.04305969,0.8518825,0.06580586
-0.7251981,1.554799,-0.9744484,0.5211556,-0.04206717,0.8499602,0.06476782
-0.7221107,1.554374,-0.9704692,0.5281386,-0.0396395,0.8459336,0.06240796
-0.7204076,1.554151,-0.9684401,0.531817,-0.03820177,0.8437724,0.06131418
-0.717187,1.553437,-0.9642146,0.5398185,-0.03536955,0.8389535,0.05917836
-0.7155622,1.553094,-0.9619675,0.5439665,-0.03387512,0.8364113,0.05804453
-0.7120963,1.552428,-0.9574726,0.5523781,-0.03090139,0.83114,0.0559455
-0.7104456,1.552136,-0.9551339,0.5565571,-0.02930183,0.8284647,0.05506285
-0.7073092,1.551521,-0.9505115,0.5649852,-0.02638428,0.8229501,0.05337384
-0.7057819,1.551313,-0.9481521,0.5691153,-0.02498225,0.8201932,0.05260147
-0.7025622,1.550966,-0.9436128,0.5770082,-0.02244103,0.8148303,0.05108494
-0.7010813,1.550839,-0.9413021,0.5806812,-0.0213705,0.8122931,0.05032636
-0.6981289,1.550717,-0.9367471,0.5875331,-0.01964782,0.8074985,0.04863112
-0.6967027,1.550632,-0.9345138,0.590656,-0.01901027,0.8052891,0.0476821
-0.6940322,1.550461,-0.930125,0.5962765,-0.01793562,0.801291,0.04544493
-0.6928258,1.550335,-0.9279716,0.5987421,-0.01728405,0.7995134,0.04458124
-0.6901814,1.550286,-0.9238245,0.6034765,-0.01622709,0.7960301,0.04346235
-0.6890223,1.550234,-0.9217167,0.6057816,-0.01604726,0.7942798,0.04348317
-0.6864187,1.550156,-0.9176867,0.6101024,-0.01563477,0.7909939,0.04311891
-0.6851995,1.550169,-0.915638,0.6120136,-0.0154642,0.789538,0.0427796
-0.6828281,1.550159,-0.9114199,0.6153689,-0.01496768,0.7869688,0.04215749
-0.6817753,1.550075,-0.9093661,0.6170204,-0.01460106,0.7856902,0.04199485
-0.6794596,1.550076,-0.9053967,0.619613,-0.01354073,0.7836804,0.04173082
-0.6784434,1.55004,-0.9034367,0.620903,-0.0130098,0.7826621,0.04183638
-0.6762323,1.549897,-0.8996215,0.6229678,-0.01217219,0.7810436,0.0416385
-0.6753272,1.549822,-0.8976927,0.623978,-0.01177457,0.7802497,0.04151217
-0.6732076,1.549778,-0.8941424,0.6257312,-0.0109084,0.7788801,0.0410767
-0.6723857,1.54972,-0.8922968,0.6266834,-0.0103828,0.7781239,0.0410297
-0.6704736,1.549776,-0.8886936,0.6282434,-0.00945986,0.7768785,0.04099355
-0.6696541,1.549715,-0.8869023,0.6289136,-0.009052154,0.7763416,0.04098164
-0.6677421,1.54958,-0.8835506,0.6301551,-0.008158188,0.7753595,0.04069237
-0.6670091,1.549507,-0.8818626,0.6307905,-0.007715578,0.7748465,0.04070327
-0.6653559,1.549524,-0.8785744,0.6318133,-0.006974585,0.7740273,0.04055959
-0.6646438,1.549415,-0.8769205,0.6322176,-0.006540167,0.7737041,0.04049893
-0.6630253,1.549279,-0.873666,0.6328649,-0.005642369,0.7732161,0.03983712
-0.6623915,1.549176,-0.8720994,0.6331427,-0.005280159,0.773001,0.03964618
-0.6609637,1.549004,-0.8689995,0.6335176,-0.004105267,0.7727317,0.03904438
-0.660633,1.548809,-0.8673832,0.6336035,-0.003653962,0.7726709,0.03889621
-0.6593499,1.548629,-0.8645535,0.6334236,-0.003067586,0.7728401,0.03851478
-0.6590354,1.548477,-0.8630195,0.6333201,-0.002828767,0.7729303,0.03842308
-0.6579754,1.548414,-0.8602095,0.6327798,-0.002254173,0.7733889,0.03813658
-0.6575572,1.548385,-0.8588266,0.6325934,-0.002040803,0.7735399,0.03817826
-0.6566293,1.548398,-0.8560138,0.6318921,-0.001381068,0.7741109,0.03824679
-0.6562623,1.54837,-0.8546324,0.631535,-0.00133163,0.7743914,0.03846881
-0.6553755,1.548382,-0.8520076,0.6307184,-0.001098633,0.7750447,0.03871439
-0.6551025,1.5483,-0.8506603,0.6303472,-0.001067679,0.7753295,0.03905668
-0.6542546,1.54829,-0.8482523,0.6294382,-0.000925644,0.7760599,0.03921451
-0.6540003,1.548171,-0.8470185,0.6289572,-0.0009296599,0.776447,0.03926985
-0.6532826,1.547915,-0.8448145,0.6280661,-0.0006401421,0.7771821,0.03899425
-0.6531906,1.547672,-0.8437035,0.6275859,-0.0004648299,0.7775763,0.03886967
-0.6525564,1.547377,-0.841763,0.6266994,0.0004401308,0.7783116,0.0384568
-0.6525385,1.547101,-0.8408265,0.6263046,0.0009416046,0.7786328,0.03837563
-0.6520715,1.546685,-0.839097,0.6253803,0.001756286,0.7793992,0.03785814
-0.6519555,1.546447,-0.8383837,0.6249179,0.001983408,0.779781,0.03762103
-0.6516469,1.545925,-0.8371336,0.6239716,0.002495734,0.7805588,0.03716515
-0.6517253,1.545658,-0.8366687,0.6235219,0.002800975,0.780917,0.03716545
-0.6518428,1.545215,-0.8361118,0.622552,0.003411423,0.7817196,0.03649535
-0.6520007,1.544893,-0.8358521,0.6220919,0.00361192,0.782103,0.03610486
-0.6524221,1.544321,-0.8356314,0.6211758,0.004305467,0.7828761,0.03502971
-0.6527303,1.544062,-0.8355837,0.620674,0.004685815,0.7832879,0.03466851
-0.6532356,1.543765,-0.8359106,0.6197083,0.005446854,0.7840707,0.03413279
-0.6538081,1.543642,-0.8361118,0.6192999,0.005350246,0.7844068,0.03383683
-0.6545209,1.543725,-0.8368328,0.6182668,0.005497909,0.7852609,0.03288237
-0.6550732,1.543757,-0.8372569,0.6177524,0.005501296,0.7856866,0.0323781
-0.6560156,1.544011,-0.8382962,0.6165203,0.00563378,0.7867017,0.03116788
-0.6565897,1.544257,-0.8388896,0.6158001,0.005352334,0.7872872,0.03066505
-0.6569719,1.54457,-0.8395109,0.6150569,0.005085368,0.7878825,0.03033748
-0.6580977,1.545126,-0.8408823,0.6133221,0.003874651,0.789261,0.02980029
-0.6590118,1.545937,-0.8421607,0.6113684,0.002415327,0.7907859,0.02967301
-0.6593513,1.546269,-0.8429439,0.6103854,0.001730645,0.7915365,0.02994457
-0.6597055,1.546557,-0.8437104,0.6093506,0.001303354,0.7923288,0.03008779
-0.6608853,1.546852,-0.8452296,0.6072358,0.000690534,0.7939355,0.0305039
-0.6615843,1.547112,-0.8467948,0.6052535,0.0002283726,0.7954308,0.03095403
-0.6618044,1.547164,-0.8475437,0.6042483,0.0,0.7961888,0.03110375
-0.6623499,1.547175,-0.8490772,0.6023316,0.0001930101,0.7976418,0.03105232
-0.6626711,1.547146,-0.8498158,0.6014221,0.0003229677,0.7983211,0.03122162
-0.6627572,1.547083,-0.8503876,0.6004673,0.0007170007,0.7990349,0.03133607
-0.6632769,1.546821,-0.8518081,0.5989087,0.001410427,0.8002096,0.03115939
-0.663368,1.54675,-0.8526483,0.5980624,0.002124865,0.8008518,0.03087607
-0.6638466,1.546462,-0.8540232,0.5965369,0.003507265,0.8020086,0.0302243
-0.6639202,1.546373,-0.8547862,0.595851,0.004449291,0.8025239,0.02995465
-0.6642761,1.546168,-0.8562272,0.5943798,0.005975837,0.8036252,0.0293841
-0.6643561,1.546104,-0.8570306,0.5936195,0.006815198,0.8041868,0.02920645
-0.6648097,1.545893,-0.8585188,0.5923454,0.007844383,0.8051291,0.0288542
-0.664845,1.545817,-0.8591082,0.5917856,0.008360703,0.8055344,0.02888324
-0.6653202,1.545732,-0.8605144,0.5906897,0.008898582,0.8063375,0.0287449
-0.6653488,1.545749,-0.8613286,0.5902799,0.00912348,0.8066352,0.02874024
-0.6657302,1.545728,-0.8628025,0.5893621,0.009276541,0.8073185,0.02833741
-0.6657578,1.545708,-0.8634434,0.5889193,0.009497589,0.8076422,0.02824985
-0.6661813,1.545759,-0.8648577,0.5881015,0.009816229,0.8082492,0.02781476
-0.6662512,1.545752,-0.8656144,0.5876385,0.01015827,0.8085861,0.02768468
-0.6666375,1.545793,-0.8671005,0.5867341,0.01059307,0.8092448,0.02745456
-0.6666993,1.545794,-0.8680065,0.5863277,0.01071302,0.8095393,0.02740635
-0.6668961,1.545727,-0.8695354,0.5853558,0.01070885,0.8102418,0.02742755
-0.6669574,1.545695,-0.8704748,0.5849385,0.01085705,0.8105475,0.02723823
-0.667315,1.545604,-0.8720043,0.5839221,0.01104787,0.811282,0.02710428
-0.6673734,1.545558,-0.8727,0.5834943,0.0112626,0.8115876,0.02707802
-0.6677587,1.545499,-0.8741827,0.5824939,0.01148272,0.812312,0.02679978
