qw,qx,qy,qz
0.1253765,0.05401112,-0.8830233,0.4490361
0.1241088,0.05368916,-0.8814937,0.4524195
0.1225559,0.05187802,-0.8798859,0.4561684
0.121364,0.04949029,-0.8790561,0.4583469
0.121364,0.04949029,-0.8790561,0.4583469
0.1209534,0.0468839,-0.8784688,0.4598531
0.1201529,0.04389714,-0.8780126,0.4612269
0.1181063,0.04113679,-0.8775803,0.46283
0.1181063,0.04113679,-0.8775803,0.46283
0.1146364,0.03917639,-0.8773986,0.4642148
0.1098595,0.03987273,-0.8779888,0.4641948
0.1006735,0.04317357,-0.8791627,0.4637607
0.1006735,0.04317357,-0.8791627,0.4637607
0.08663527,0.04617857,-0.8806007,0.4635777
0.06752419,0.04991825,-0.8820271,0.463656
0.04853965,0.05448782,-0.8830295,0.4636096
0.04853965,0.05448782,-0.8830295,0.4636096
0.03191689,0.05836914,-0.883706,0.4632905
0.0182204,0.06044453,-0.884024,0.4631589
0.008401596,0.05993429,-0.8840692,0.463421
0.008401596,0.05993429,-0.8840692,0.463421
0.001789902,0.05747697,-0.8846051,0.4627819
-0.001972106,0.05287533,-0.8857266,0.4611819
-0.001972106,0.05287533,-0.8857266,0.4611819
-0.003867915,0.0483799,-0.8868288,0.4595422
-0.004261985,0.04338067,-0.8879552,0.4578596
-0.004573973,0.03810315,-0.8894106,0.4554954
-0.004573973,0.03810315,-0.8894106,0.4554954
-0.004696139,0.03362943,-0.8914018,0.45194
-0.004495106,0.03019063,-0.893851,0.4473241
-0.004096182,0.02698444,-0.8967587,0.4416774
-0.004096182,0.02698444,-0.8967587,0.4416774
-0.003666176,0.02358391,-0.9003447,0.4345226
-0.002217517,0.02037148,-0.9050168,0.424882
0.0009991885,0.01668528,-0.9107735,0.4125678
0.0009991885,0.01668528,-0.9107735,0.4125678
0.006268521,0.01247449,-0.9180201,0.396288
0.0135542,0.006906419,-0.9267212,0.3754417
0.02178023,0.0001220703,-0.9368533,0.3490436
0.02178023,0.0001220703,-0.9368533,0.3490436
0.03094115,-0.006119364,-0.9466062,0.3208455
0.04129009,-0.01088276,-0.9560663,0.2900243
0.05143537,-0.01446572,-0.9640834,0.26017
0.05143537,-0.01446572,-0.9640834,0.26017
0.060131,-0.01663026,-0.9705012,0.2328846
0.06701416,-0.01674678,-0.9756709,0.2080742
0.07267562,-0.0155581,-0.9799202,0.1850204
0.07267562,-0.0155581,-0.9799202,0.1850204
0.07728815,-0.01372301,-0.9833341,0.1639887
0.08084503,-0.01134663,-0.9858751,0.1462382
0.08084503,-0.01134663,-0.9858751,0.1462382
0.08335964,-0.009105497,-0.9878049,0.1311858
0.08507224,-0.008214162,-0.9894722,0.1167907
0.0866462,-0.007766589,-0.9910486,0.1012666
0.0866462,-0.007766589,-0.9910486,0.1012666
0.08827499,-0.007865724,-0.9924679,0.08457632
0.09115908,-0.008234998,-0.9935861,0.06640031
0.0961667,-0.007034683,-0.9941847,0.04795064
0.0961667,-0.007034683,-0.9941847,0.04795064
0.10093,-0.006170289,-0.9944661,0.02849943
0.1049983,-0.006374596,-0.9944105,0.009089937
0.1085231,-0.006950509,-0.9940128,-0.01063484
0.1085231,-0.006950509,-0.9940128,-0.01063484
0.1111636,-0.007198009,-0.9933288,-0.02981241
0.1127509,-0.007030445,-0.9924672,-0.04739929
0.1131816,-0.00574898,-0.9915362,-0.06334709
0.1131816,-0.00574898,-0.9915362,-0.06334709
0.1126194,-0.005121137,-0.9906471,-0.07686941
0.1116352,-0.005893607,-0.9897115,-0.08929717
0.1108252,-0.007101093,-0.9888101,-0.09960923
0.1108252,-0.007101093,-0.9888101,-0.09960923
0.1108357,-0.00701028,-0.9880489,-0.1068915
0.1112623,-0.00564567,-0.9872332,-0.1138399
0.1121452,-0.004649902,-0.9861764,-0.1218929
0.1121452,-0.004649902,-0.9861764,-0.1218929
