TimeStamp, LeftEye X,LeftEye Y,RightEye X,RightEye Y,Eye X,Eye Y,x,y,z,qx,qy,qz,qw,pitch,yaw,roll
2019-07-24 17:48:43.730,0.7228225,0.4550937,0.9810057,0.4620813,0.8519142,0.4585875,-0.3931651,1.551322,-0.2924659,-0.06436336,0.9928206,-0.05621255,0.0836952,5.787782,169.9613,352.0728
2019-07-24 17:48:43.748,0.7228225,0.4550937,0.9810057,0.4620813,0.8519142,0.4585875,-0.3929806,1.551177,-0.2924414,-0.06421781,0.9927925,-0.05637851,0.08402659,5.80553,169.9225,352.0858
2019-07-24 17:48:43.764,0.7228225,0.4550937,0.9810057,0.4620813,0.8519142,0.4585875,-0.3928005,1.551224,-0.2922492,-0.0640611,0.9927836,-0.05643967,0.08421091,5.812623,169.9016,352.102
2019-07-24 17:48:43.780,0.7228225,0.4550937,0.9810057,0.4620813,0.8519142,0.4585875,-0.3928005,1.551224,-0.2922492,-0.0640611,0.9927836,-0.05643967,0.08421091,5.812623,169.9016,352.102
2019-07-24 17:48:43.796,0.7228225,0.4550937,0.9810057,0.4620813,0.8519142,0.4585875,-0.3926116,1.551247,-0.2922509,-0.06383437,0.9927859,-0.05660049,0.08424753,5.832958,169.8973,352.1261
2019-07-24 17:48:43.814,0.7228225,0.4550937,0.9810057,0.4620813,0.8519142,0.4585875,-0.3925043,1.55127,-0.2921438,-0.06369147,0.9927804,-0.05660299,0.0844192,5.833336,169.8783,352.1414
2019-07-24 17:48:43.831,0.7228225,0.4550937,0.9810057,0.4620813,0.8519142,0.4585875,-0.3924314,1.551268,-0.2921619,-0.06363283,0.9928023,-0.05631571,0.08439827,5.80135,169.8836,352.1515
2019-07-24 17:48:43.848,0.7228225,0.4550937,0.9810057,0.4620813,0.8519142,0.4585875,-0.3924314,1.551268,-0.2921619,-0.06363283,0.9928023,-0.05631571,0.08439827,5.80135,169.8836,352.1515
2019-07-24 17:48:43.863,0.7228225,0.4550937,0.4871826,0.5379593,0.6050026,0.4965265,-0.3924226,1.551486,-0.2921095,-0.06387252,0.9928374,-0.05600168,0.08401205,5.766179,169.9295,352.1296
2019-07-24 17:48:43.880,0.7228225,0.4550937,0.4871826,0.5379593,0.6050026,0.4965265,-0.3925859,1.551493,-0.2920582,-0.06402143,0.9928731,-0.05560433,0.08374077,5.721532,169.9635,352.1184
2019-07-24 17:48:43.897,0.7228225,0.4550937,0.6284735,0.5593956,0.675648,0.5072446,-0.3925859,1.551493,-0.2920582,-0.06402143,0.9928731,-0.05560433,0.08374077,5.721532,169.9635,352.1184
2019-07-24 17:48:43.914,0.7228225,0.4550937,0.6284735,0.5593956,0.675648,0.5072446,-0.392676,1.551414,-0.2918952,-0.06413422,0.9928942,-0.05565657,0.08336822,5.729304,170.0053,352.107
2019-07-24 17:48:43.931,0.7228225,0.4550937,0.6284735,0.5593956,0.675648,0.5072446,-0.3925805,1.551322,-0.2919345,-0.06416929,0.9928989,-0.05583166,0.08316832,5.750496,170.0265,352.1023
2019-07-24 17:48:43.948,0.7228225,0.4550937,0.6284735,0.5593956,0.675648,0.5072446,-0.3924218,1.55135,-0.2920208,-0.06443845,0.992898,-0.05597067,0.0828773,5.765969,170.0572,352.0715
2019-07-24 17:48:43.964,0.7228225,0.4550937,0.5140296,0.5023823,0.6184261,0.478738,-0.3924218,1.55135,-0.2920208,-0.06443845,0.992898,-0.05597067,0.0828773,5.765969,170.0572,352.0715
2019-07-24 17:48:43.981,0.7228225,0.4550937,0.512182,0.504428,0.6175023,0.4797608,-0.392426,1.551232,-0.292048,-0.06450351,0.9928886,-0.05602376,0.08290255,5.771171,170.0535,352.0633
2019-07-24 17:48:43.998,0.7228225,0.4550937,0.5137365,0.5024395,0.6182795,0.4787666,-0.3924985,1.551163,-0.2920098,-0.06444596,0.9928861,-0.05628514,0.08280022,5.802355,170.0632,352.0677
2019-07-24 17:48:44.015,0.7228225,0.4550937,0.5137365,0.5024395,0.6182795,0.4787666,-0.3924687,1.551026,-0.2920687,-0.06443012,0.9928746,-0.05661155,0.08272775,5.840299,170.0687,352.0664
2019-07-24 17:48:44.031,0.7228225,0.4550937,0.5135726,0.5042826,0.6181976,0.4796881,-0.3924687,1.551026,-0.2920687,-0.06443012,0.9928746,-0.05661155,0.08272775,5.840299,170.0687,352.0664
2019-07-24 17:48:44.048,0.7228225,0.4550937,0.5135726,0.5042826,0.6181976,0.4796881,-0.3923819,1.550983,-0.2922177,-0.06439218,0.9928698,-0.0570152,0.08253822,5.888202,170.0871,352.0675
2019-07-24 17:48:44.064,0.7228225,0.4550937,0.5127276,0.5047174,0.6177751,0.4799055,-0.3922853,1.550899,-0.2924917,-0.06471615,0.9928493,-0.05740005,0.08226344,5.931055,170.1134,352.0278
2019-07-24 17:48:44.082,0.7228225,0.4550937,0.5122646,0.5049725,0.6175436,0.4800331,-0.3922349,1.550853,-0.2926526,-0.06448895,0.9928679,-0.05748696,0.08215777,5.944057,170.1261,352.0536
2019-07-24 17:48:44.097,0.7228225,0.4550937,0.5122646,0.5049725,0.6175436,0.4800331,-0.3922349,1.550853,-0.2926526,-0.06448895,0.9928679,-0.05748696,0.08215777,5.944057,170.1261,352.0536
2019-07-24 17:48:44.115,0.7228225,0.4550937,0.5115824,0.50512,0.6172025,0.4801069,-0.3920751,1.550767,-0.2929764,-0.06444468,0.9928726,-0.05751196,0.0821174,5.947667,170.1308,352.0586
